Номер задачи,Описание задачи,,Имена,,,Итого
,,,Настя,Дима,Саша,
0,Разработка интерфейса мобильного приложения.,Проектирование.,13,21,13,13
,,Прототипирование.,34,21,34,34
,,Перенос интерфейса.,,,,13
"1,""Создать страницу со списком всех задач, отображая их название, статус выполнения и сроки."",,21,21,8,21"
"2,""Добавить функциональность отметки задач как выполненные"",,21,34,13,21"
"3,""Добавить кнопку или функцию удаления для каждой задачи в списке."",,21,8,21,21"
"4,""Создать страницу или модальное окно для редактирования существующей задачи."",,13,8,21,13"
"5,""Создать страницу или модальное окно с формой для ввода названия задачи, описания, срока выполнения и других необходимых данных."",,34,13,21,21"
"6,""Добавлить функциональность установки приоритетов для задач."",,13,8,21,13"
"7,""Добавить функциональность установки напоминаний для задач"",,34,13,8,21"
Итого:,,,204,147,160,191
